time, pressure
6.18,1.2955248948
6.2,1.3162091667
6.22,1.2955248948
6.24,1.3093144094
6.26,1.2955248948
6.28,1.3093144094
6.3,1.3024196521
6.32,1.3093144094
6.34,1.3093144094
6.36,1.3024196521
6.38,1.2893196132
6.4,1.3024196521
6.42,1.2955248948
6.44,1.3024196521
6.46,1.3093144094
6.48,1.3024196521
6.5,1.3093144094
6.52,1.3093144094
6.54,1.2955248948
6.56,1.3093144094
6.58,1.3024196521
6.6,1.3024196521
6.62,1.3024196521
6.64,1.2955248948
6.66,1.3224144482
6.68,1.3024196521
6.7,1.3162091667
6.72,1.2955248948
6.74,1.3093144094
6.76,1.2824248559
6.78,1.3024196521
6.8,1.2955248948
6.82,1.2955248948
6.84,1.2955248948
6.86,1.2955248948
6.88,1.3024196521
6.9,1.2955248948
6.92,1.2955248948
6.94,1.2955248948
6.96,1.2893196132
6.98,1.2955248948
7,1.2955248948
7.02,1.3093144094
7.04,1.3093144094
7.06,1.3093144094
7.08,1.2955248948
7.1,1.3024196521
7.12,1.2955248948
7.14,1.2955248948
7.16,1.3093144094
7.18,1.2955248948
7.2,1.3162091667
7.22,1.2893196132
7.24,1.3093144094
7.26,1.2893196132
7.28,1.2955248948
7.3,1.2955248948
7.32,1.2955248948
7.34,1.2955248948
7.36,1.2893196132
7.38,1.3024196521
7.4,1.2955248948
7.42,1.2955248948
7.44,1.2955248948
7.46,1.2893196132
7.48,1.3024196521
7.5,1.2955248948
7.52,1.2955248948
7.54,1.2955248948
7.56,1.3024196521
7.58,1.2893196132
7.6,1.3024196521
7.62,1.2955248948
7.64,1.3024196521
7.66,1.2955248948
7.68,1.2955248948
7.7,1.3024196521
7.72,1.2955248948
7.74,1.3093144094
7.76,1.3024196521
7.78,1.3024196521
7.8,1.2955248948
7.82,1.2955248948
7.84,1.2893196132
7.86,1.2893196132
7.88,1.2955248948
7.9,1.2955248948
7.92,1.2955248948
7.94,1.2893196132
7.96,1.2955248948
7.98,1.2824248559
8,1.3024196521
8.02,1.2824248559
8.04,1.3024196521
8.06,1.2824248559
8.08,1.3024196521
8.1,1.2955248948
8.12,1.3093144094
8.14,1.3024196521
8.16,1.2955248948
8.18,1.3093144094
8.2,1.2893196132
8.22,1.2955248948
8.24,1.2955248948
8.26,1.2955248948
8.28,1.3093144094
8.3,1.2955248948
8.32,1.3024196521
8.34,1.2955248948
8.36,1.2955248948
8.38,1.2893196132
8.4,1.2955248948
8.42,1.2824248559
8.44,1.2955248948
8.46,1.2893196132
8.48,1.2955248948
8.5,1.2955248948
8.52,1.2893196132
8.54,1.2955248948
8.56,1.2893196132
8.58,1.2955248948
8.6,1.2893196132
8.62,1.2955248948
8.64,1.2955248948
8.66,1.3024196521
8.68,1.2955248948
8.7,1.2955248948
8.72,1.2955248948
8.74,1.2955248948
8.76,1.2955248948
8.78,1.2955248948
8.8,1.2955248948
8.82,1.3093144094
8.84,1.2955248948
8.86,1.3093144094
8.88,1.2955248948
8.9,1.3024196521
8.92,1.2893196132
8.94,1.2893196132
8.96,1.3024196521
8.98,1.2955248948
9,1.3024196521
9.02,1.2893196132
9.04,1.3093144094
9.06,1.2824248559
9.08,1.2955248948
9.1,1.2893196132
9.12,1.3024196521
9.14,1.2955248948
9.16,1.2955248948
9.18,1.3093144094
9.2,1.2955248948
9.22,1.3162091667
9.24,1.2955248948
9.26,1.3093144094
9.28,1.2955248948
9.3,1.3024196521
9.32,1.3024196521
9.34,1.3024196521
9.36,1.3093144094
9.38,1.3093144094
9.4,1.3093144094
9.42,1.3024196521
9.44,1.3024196521
9.46,1.3024196521
9.48,1.2955248948
9.5,1.3024196521
9.52,1.3024196521
9.54,1.3093144094
9.56,1.3024196521
9.58,1.3162091667
9.6,1.3024196521
9.62,1.3024196521
9.64,1.3024196521
9.66,1.2955248948
9.68,1.3093144094
9.7,1.3024196521
9.72,1.3162091667
9.74,1.3093144094
9.76,1.3162091667
9.78,1.3162091667
9.8,1.3162091667
9.82,1.3093144094
9.84,1.3093144094
9.86,1.3224144482
9.88,1.3162091667
9.9,1.3162091667
9.92,1.3162091667
9.94,1.3224144482
9.96,1.3224144482
9.98,1.3162091667
10,1.3162091667
10.02,1.3093144094
10.04,1.3162091667
10.06,1.3162091667
10.08,1.3224144482
10.1,1.3224144482
10.12,1.3224144482
10.14,1.3224144482
10.16,1.3162091667
10.18,1.3224144482
10.2,1.3224144482
10.22,1.3293092055
10.24,1.3293092055
10.26,1.3362039628
10.28,1.3293092055
10.3,1.3293092055
10.32,1.3362039628
10.34,1.3293092055
10.36,1.3362039628
10.38,1.3293092055
10.4,1.3430987201
10.42,1.3362039628
10.44,1.3430987201
10.46,1.3430987201
10.48,1.3430987201
10.5,1.3430987201
10.52,1.3362039628
10.54,1.3430987201
10.56,1.3362039628
10.58,1.3430987201
10.6,1.3430987201
10.62,1.3499934774
10.64,1.3499934774
10.66,1.3430987201
10.68,1.3499934774
10.7,1.3430987201
10.72,1.3499934774
10.74,1.3430987201
10.76,1.3561987589
10.78,1.3561987589
10.8,1.3630935162
10.82,1.3630935162
10.84,1.3630935162
10.86,1.3630935162
10.88,1.3561987589
10.9,1.3630935162
10.92,1.3630935162
10.94,1.3699882735
10.96,1.3699882735
10.98,1.3699882735
11,1.3768830308
11.02,1.3699882735
11.04,1.3768830308
11.06,1.3699882735
11.08,1.3699882735
11.1,1.3699882735
11.12,1.3699882735
11.14,1.3768830308
11.16,1.3768830308
11.18,1.3768830308
11.2,1.3830883124
11.22,1.3830883124
11.24,1.3768830308
11.26,1.3768830308
11.28,1.3830883124
11.3,1.3830883124
11.32,1.3899830697
11.34,1.3899830697
11.36,1.396877827
11.38,1.396877827
11.4,1.396877827
11.42,1.396877827
11.44,1.396877827
11.46,1.396877827
11.48,1.396877827
11.5,1.4037725842
11.52,1.4037725842
11.54,1.4037725842
11.56,1.4037725842
11.58,1.4037725842
11.6,1.396877827
11.62,1.4037725842
11.64,1.4037725842
11.66,1.4099778658
11.68,1.4099778658
11.7,1.4099778658
11.72,1.4099778658
11.74,1.4099778658
11.76,1.4099778658
11.78,1.4099778658
11.8,1.4099778658
11.82,1.4168726231
11.84,1.4168726231
11.86,1.4168726231
11.88,1.4237673804
11.9,1.4237673804
11.92,1.4237673804
11.94,1.4237673804
11.96,1.4237673804
11.98,1.4237673804
12,1.4306621377
12.02,1.4306621377
12.04,1.4368674192
12.06,1.4306621377
12.08,1.4306621377
12.1,1.4306621377
12.12,1.4237673804
12.14,1.4237673804
12.16,1.4237673804
12.18,1.4306621377
12.2,1.4306621377
12.22,1.4306621377
12.24,1.4306621377
12.26,1.4368674192
12.28,1.4306621377
12.3,1.4306621377
12.32,1.4306621377
12.34,1.4368674192
12.36,1.4368674192
12.38,1.4368674192
12.4,1.4437621765
12.42,1.4437621765
12.44,1.4437621765
12.46,1.4437621765
12.48,1.4437621765
12.5,1.4437621765
12.52,1.4437621765
12.54,1.4437621765
12.56,1.4437621765
12.58,1.4506569338
12.6,1.4506569338
12.62,1.4437621765
12.64,1.4437621765
12.66,1.4437621765
12.68,1.4437621765
12.7,1.4437621765
12.72,1.4506569338
12.74,1.4506569338
12.76,1.4506569338
12.78,1.4506569338
12.8,1.4437621765
12.82,1.4437621765
12.84,1.4437621765
12.86,1.4437621765
12.88,1.4506569338
12.9,1.4506569338
12.92,1.4575516911
12.94,1.4506569338
12.96,1.4575516911
12.98,1.4575516911
13,1.4575516911
13.02,1.4575516911
13.04,1.4575516911
13.06,1.4575516911
13.08,1.4575516911
13.1,1.4644464484
13.12,1.4575516911
13.14,1.4575516911
13.16,1.4575516911
13.18,1.4575516911
13.2,1.4506569338
13.22,1.4506569338
13.24,1.4575516911
13.26,1.4575516911
13.28,1.4575516911
13.3,1.4575516911
13.32,1.4575516911
13.34,1.4575516911
13.36,1.4575516911
13.38,1.4575516911
13.4,1.4575516911
13.42,1.4644464484
13.44,1.4644464484
13.46,1.4644464484
13.48,1.4644464484
13.5,1.4644464484
13.52,1.4644464484
13.54,1.4644464484
13.56,1.4644464484
13.58,1.4644464484
13.6,1.4644464484
13.62,1.4644464484
13.64,1.4644464484
13.66,1.4644464484
13.68,1.4644464484
13.7,1.4644464484
13.72,1.4644464484
13.74,1.4644464484
13.76,1.4644464484
13.78,1.4644464484
13.8,1.4644464484
13.82,1.47065173
13.84,1.4644464484
13.86,1.4644464484
13.88,1.4644464484
13.9,1.4644464484
13.92,1.4644464484
13.94,1.47065173
13.96,1.47065173
13.98,1.47065173
14,1.47065173
14.02,1.47065173
14.04,1.47065173
14.06,1.47065173
14.08,1.47065173
14.1,1.47065173
14.12,1.4775464872
14.14,1.4775464872
14.16,1.47065173
14.18,1.47065173
14.2,1.47065173
14.22,1.47065173
14.24,1.47065173
14.26,1.47065173
14.28,1.47065173
14.3,1.47065173
14.32,1.47065173
14.34,1.47065173
14.36,1.47065173
14.38,1.47065173
14.4,1.47065173
14.42,1.47065173
14.44,1.47065173
14.46,1.4775464872
14.48,1.4775464872
14.5,1.4775464872
14.52,1.4775464872
14.54,1.4775464872
14.56,1.4775464872
14.58,1.4775464872
14.6,1.4775464872
14.62,1.4775464872
14.64,1.4775464872
14.66,1.4844412445
14.68,1.4844412445
14.7,1.4775464872
14.72,1.4775464872
14.74,1.4775464872
14.76,1.4775464872
14.78,1.4775464872
14.8,1.4775464872
14.82,1.4775464872
14.84,1.4775464872
14.86,1.4775464872
14.88,1.4844412445
14.9,1.4775464872
14.92,1.4775464872
14.94,1.4775464872
14.96,1.4775464872
14.98,1.4775464872
15,1.4844412445
15.02,1.4844412445
15.04,1.4844412445
15.06,1.4844412445
15.08,1.4844412445
15.1,1.4844412445
15.12,1.4844412445
15.14,1.4844412445
15.16,1.4844412445
15.18,1.4913360018
15.2,1.4844412445
15.22,1.4844412445
15.24,1.4844412445
15.26,1.4844412445
15.28,1.4775464872
15.3,1.4775464872
15.32,1.4844412445
15.34,1.4844412445
15.36,1.4844412445
15.38,1.4844412445
15.4,1.4844412445
15.42,1.4913360018
15.44,1.4844412445
15.46,1.4844412445
15.48,1.4913360018
15.5,1.4844412445
15.52,1.4913360018
15.54,1.4913360018
15.56,1.4913360018
15.58,1.4913360018
15.6,1.4913360018
15.62,1.4913360018
15.64,1.4844412445
15.66,1.4913360018
15.68,1.4913360018
15.7,1.4913360018
15.72,1.4913360018
15.74,1.4913360018
15.76,1.4913360018
15.78,1.4913360018
15.8,1.4913360018
15.82,1.4844412445
15.84,1.4913360018
15.86,1.4975412834
15.88,1.4913360018
15.9,1.4913360018
15.92,1.4913360018
15.94,1.4913360018
15.96,1.4913360018
15.98,1.4844412445
16,1.4913360018
16.02,1.4913360018
16.04,1.4975412834
16.06,1.4975412834
16.08,1.5044360407
16.1,1.4975412834
16.12,1.4975412834
16.14,1.5044360407
16.16,1.4975412834
16.18,1.4975412834
16.2,1.4975412834
16.22,1.4975412834
16.24,1.5044360407
16.26,1.5044360407
16.28,1.4975412834
16.3,1.4975412834
16.32,1.4975412834
